"Pilsēta, novads","Darba ņēm. siev., alga","Pašnodarb. siev., alga"
Mārupes novads,1279.03,283.98
Garkalnes novads,1193.58,242.71
Ikšķiles novads,1136.82,280.64
Babītes novads,1125.22,241.72
Ķekavas novads,1112.14,213.69
Carnikavas novads,1102.5,211.77
Stopiņu novads,1076.54,198.41
Ādažu novads,1058.88,212.76
Saulkrastu novads,972.18,317.19
Rīga,970.97,229.25
Baldones novads,964.18,166.89
Salaspils novads,938.48,192.19
Jūrmala,932.31,237.13
Ozolnieku novads,931.85,203.99
Olaines novads,912.82,216.51
Siguldas novads,910.25,225.43
Ogres novads,906.04,177.22
Ropažu novads,898.38,228.52
Jelgava,877.76,177.24
Kopā,867.8,207.63
Iecavas novads,865.18,196.94
Sējas novads,858.57,184.08
Valmiera,836.27,190.42
Inčukalna novads,825.3,115.17
Lielvārdes novads,823.48,191.72
Mālpils novads,817.37,266.42
Ķeguma novads,811.11,168.07
Strenču novads,806.19,115.31
Ventspils,805.14,148.94
Aizkraukles novads,804.28,207.47
Engures novads,803.51,290.28
Cēsu novads,803.34,166.43
Skrīveru novads,802.58,223.87
Dobeles novads,792.52,184.14
Bauskas novads,790.92,235.6
Aknīstes novads,789.16,417.94
Beverīnas novads,788.5,321.66
Kocēnu novads,787.52,145.1
Tukuma novads,786.82,181.51
Kokneses novads,783.63,288.99
Priekuļu novads,782.17,204.02
Vecumnieku novads,781.06,213.12
Salacgrīvas novads,780.54,156.54
Limbažu novads,776.07,205.45
Salas novads,772.8,200.76
Līgatnes novads,771.12,175.07
Krimuldas novads,769.13,151.89
Preiļu novads,768.26,174.66
Jelgavas novads,765.5,290.87
Burtnieku novads,759.9,152.0
Pārgaujas novads,759.69,145.82
Jēkabpils,755.58,154.06
Valkas novads,753.04,290.81
Lubānas novads,750.39,188.45
Jaunpils novads,749.87,139.69
Smiltenes novads,743.32,189.1
Pļaviņu novads,743.23,341.84
Gulbenes novads,742.31,233.04
Madonas novads,740.9,158.72
Naukšēnu novads,740.63,249.88
Amatas novads,738.44,177.55
Nīcas novads,730.96,255.4
Līvānu novads,730.67,143.92
Rūjienas novads,730.04,137.66
Raunas novads,727.97,180.05
Rēzekne,727.43,173.94
Cesvaines novads,727.36,210.59
Brocēnu novads,727.21,137.8
Liepāja,724.24,154.22
Tērvetes novads,722.05,220.9
Grobiņas novads,720.86,282.0
Rundāles novads,718.23,190.12
Kuldīgas novads,716.07,153.36
Auces novads,715.47,173.76
Jaunpiebalgas novads,713.59,155.72
Alūksnes novads,712.21,193.09
Saldus novads,710.65,208.76
Jaunjelgavas novads,710.64,197.68
Dundagas novads,710.06,224.34
Mazsalacas novads,709.98,169.73
Aglonas novads,706.52,254.28
Kandavas novads,703.99,293.64
Aizputes novads,703.61,180.51
Talsu novads,700.79,235.99
Balvu novads,698.68,238.64
Varakļānu novads,695.91,383.12
Ērgļu novads,693.49,214.31
Viļakas novads,692.23,238.34
Daugavpils,691.91,142.98
Krustpils novads,690.92,176.78
Jēkabpils novads,687.28,313.85
Neretas novads,686.8,209.25
Ventspils novads,684.39,155.11
Alsungas novads,683.26,175.0
Rojas novads,681.34,173.76
Vecpiebalgas novads,680.13,209.38
Alojas novads,677.28,237.04
Krāslavas novads,677.13,149.08
Viesītes novads,673.49,334.55
Ludzas novads,672.69,157.12
Skrundas novads,668.48,160.91
Riebiņu novads,668.46,158.02
Priekules novads,667.94,276.37
Kārsavas novads,667.05,267.29
Ilūkstes novads,661.2,255.75
Ciblas novads,661.18,247.89
Dagdas novads,659.58,246.84
Pāvilostas novads,657.14,162.81
Rēzeknes novads,650.65,211.24
Daugavpils novads,650.2,186.27
Rucavas novads,645.19,251.58
Apes novads,644.09,108.64
Baltinavas novads,643.86,272.22
Durbes novads,639.58,160.81
Vārkavas novads,637.51,172.9
Rugāju novads,632.98,209.58
Mērsraga novads,625.75,333.39
Viļānu novads,623.2,130.64
Vaiņodes novads,601.59,349.48
Ārvalstis,595.58,160.7
Zilupes novads,559.89,366.0
Adrese nav norādīta,0.0,0.0
